benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
string-work,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",12881,678,5,1,19.461979005427565,19.507195000187494,20.051805506227538,64
string-work,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",12881,678,5,1,19.752139509364497,20.494027994573116,20.758053498866502,64
string-work,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",12881,678,5,1,19.858596504491288,20.104552997509018,20.304810503148474,64
string-work,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",12881,678,5,1,19.424109501414932,20.164773013675585,20.369402998767328,64
string-work,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",12881,678,5,1,20.465728499402758,20.72379800665658,20.83139000023948,64
string-work,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",12881,678,5,1,19.933748000767082,20.08278699941002,20.56461550091626,64
string-work,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",12881,678,5,1,20.013435496366583,20.286453000153415,20.96087449172046,64
string-work,no-inline,inline-tail-unroll,"--no-inline --pass-order=inline,tail,unroll",12881,678,5,1,19.311436495627277,19.934509007725865,20.490109498496167,64
string-work,no-inline,unroll-inline-tail,"--no-inline --pass-order=unroll,inline,tail",12881,678,5,1,19.60611050890293,20.13801700377371,20.883392498944886,64
string-work,no-inline,unroll-tail-inline,"--no-inline --pass-order=unroll,tail,inline",12881,678,5,1,20.017163995362353,20.187711998005398,20.473408003454097,64
string-work,no-inline,tail-inline-unroll,"--no-inline --pass-order=tail,inline,unroll",12881,678,5,1,19.990005501313135,20.394368999404833,20.453890501812566,64
string-work,no-inline,tail-unroll-inline,"--no-inline --pass-order=tail,unroll,inline",12881,678,5,1,19.826979500066955,20.35832399269566,20.845143495535012,64
string-work,unroll-4,inline-unroll-tail,"--unroll-factor=4 --pass-order=inline,unroll,tail",12881,678,5,1,20.058624002558645,20.567947009112686,20.762842505064327,64
